#BONDS
#ATOM#1	ATOM#2	Kb(Kcal/mol/A**2)	BOND_LENGTH(A)
CST	OST	937.96	1.1600	
NR3	CPH1	CT2	HA	0.1900	3	0.00	
NR3	CPH1	CT3	HA	0.1900	3	0.00	
NR3	CPH2	NR3	CPH1	12.0000	2	180.00	
NR3	CPH2	NR3	H	1.4000	2	180.00	
NY	CA	CY	CPT	4.0000	2	180.00	
NY	CA	CY	CT2	3.5000	2	180.00	
NY	CA	CY	HA	3.5000	2	180.00	
NY	CA	CY	HP	3.5000	2	180.00	
NY	CPT	CA	CA	2.8000	2	180.00	
NY	CPT	CA	HA	4.0000	2	180.00	
NY	CPT	CA	HP	3.0000	2	180.00	
NY	CPT	CPT	CA	10.0000	2	180.00	
NY	CPT	CPT	CY	5.0000	2	180.00	
O	C	CP1	CP2	0.4000	1	180.00	
O	C	CP1	HB	0.4000	1	0.00	
O	C	CP1	N	-0.3000	4	0.00	
O	C	CT1	CT1	1.4000	1	0.00	
O	C	CT1	CT2	1.4000	1	0.00	
O	C	CT1	CT3	1.4000	1	0.00	
O	C	CT1	HB	0.0000	1	0.00	
O	C	CT1	NH1	0.0000	1	0.00	
O	C	CT1	NH3	0.0000	1	0.00	
O	C	CT2	CT2	1.4000	1	0.00	
O	C	CT2	HA	0.0000	3	180.00	
O	C	CT2	HB	0.0000	1	0.00	
O	C	CT2	NH1	0.0000	1	0.00	
O	C	CT2	NH3	0.0000	1	0.00	
O	C	CT3	HA	0.0000	3	180.00	
O	C	N	CP1	2.7500	2	180.00	
O	C	N	CP3	2.7500	2	180.00	
O	C	NH1	CT1	2.5000	2	180.00	
O	C	NH1	CT2	2.5000	2	180.00	
O	C	NH1	CT3	2.5000	2	180.00	
O	C	NH1	H	2.5000	2	180.00	
O	CC	CP1	CP2	0.4000	1	180.00	
O	CC	CP1	HB	0.4000	1	0.00	
O	CC	CP1	N	-0.3000	4	0.00	
O	CC	CT2	HA	0.0000	3	180.00	
O	CC	NH2	H	1.4000	2	180.00	
OB	CD	OS	CT2	0.9650	1	180.00	
OB	CD	OS	CT3	0.9650	1	180.00	
OC	CA	CA	CA	3.1000	2	180.00	
OC	CA	CA	HP	4.2000	2	180.00	
OC	CC	CP1	CP2	0.1600	3	0.00	
OC	CC	CP1	HB	0.1600	3	0.00	
OC	CC	CP1	N	0.1600	3	0.00	
OC	CC	CP1	NP	0.1600	3	0.00	
OC	CC	CT1	NH3	3.2000	2	180.00	
OC	CC	CT2	NH3	3.2000	2	180.00	
OH1	CA	CA	CA	3.1000	2	180.00	
OH1	CA	CA	HP	4.2000	2	180.00	
S	CT2	CT2	HA	0.0100	3	0.00	
SM	CT2	CT2	HA	0.0100	3	0.00	
SM	SM	CT2	CT1	0.3100	3	0.00	
SM	SM	CT2	CT2	0.3100	3	0.00	
SM	SM	CT2	HA	0.1580	3	0.00	
SM	SM	CT3	HA	0.1580	3	0.00	
SS	CS	CT3	HA	0.1500	3	0.00	
X	C	NC2	X	2.2500	2	180.00	
X	CD	OH1	X	2.0500	2	180.00	
X	CD	OS	X	2.0500	2	180.00	
X	CE1	CE1	X	0.1500	1	0.00	
X	CE2	CE2	X	4.9000	2	180.00	
X	CP1	C	X	0.0000	6	180.00	
X	CP1	CC	X	0.0000	6	180.00	
X	CP1	CD	X	0.0000	6	180.00	
X	CP1	CP2	X	0.1400	3	0.00	
X	CP2	CP2	X	0.1600	3	0.00	
X	CP3	CP2	X	0.1400	3	0.00	
X	CPA	CPB	X	0.0000	2	0.00	
X	CPA	CPM	X	0.0000	2	0.00	
X	CPB	CE1	X	3.0000	2	180.00	
X	CPB	CPB	X	0.0000	2	0.00	
X	CPB	CT2	X	0.0000	6	0.00	
X	CPB	CT3	X	0.0000	6	0.00	
X	CPT	CPT	X	0.0000	2	180.00	
X	CT1	CC	X	0.0500	6	180.00	
X	CT1	CD	X	0.0000	6	180.00	
X	CT1	CT1	X	0.2000	3	0.00	
X	CT1	CT2	X	0.2000	3	0.00	
X	CT1	CT3	X	0.2000	3	0.00	
X	CT1	NH3	X	0.1000	3	0.00	
X	CT1	OH1	X	0.1400	3	0.00	
X	CT1	OS	X	-0.1000	3	0.00	
X	CT2	CA	X	0.0000	6	0.00	
X	CT2	CC	X	0.0500	6	180.00	
X	CT2	CD	X	0.0000	6	180.00	
X	CT2	CT2	X	0.1950	3	0.00	
X	CT2	CT3	X	0.1600	3	0.00	
X	CT2	NC2	X	0.0000	6	180.00	
X	CT2	NH3	X	0.1000	3	0.00	
X	CT2	OH1	X	0.1400	3	0.00	
X	CT2	OS	X	-0.1000	3	0.00	
X	CT3	CA	X	0.0000	6	0.00	
X	CT3	CC	X	0.0500	6	180.00	
X	CT3	CD	X	0.0000	6	180.00	
X	CT3	CT3	X	0.1550	3	0.00	
X	CT3	NC2	X	0.0000	6	180.00	
X	CT3	NH2	X	0.1100	3	0.00	
X	CT3	NH3	X	0.0900	3	0.00	
X	CT3	OH1	X	0.1400	3	0.00	
X	CT3	OS	X	-0.1000	3	0.00	
X	FE	CM	X	0.0500	4	0.00	
X	FE	NPH	X	0.0000	2	0.00	
X	FE	OM	X	0.0000	4	0.00	
X	NPH	CPA	X	0.0000	2	0.00	
ON	NN	CT1	CT3	0.099	3	0.00	
ON	NN	CT1	CT2	0.099	3	0.00	
ON	NN	CT1	CT1	0.099	3	0.00	
ON	NN	CT1	CE1	0.052	3	0.00	
HA	CT3	CT1	NN	0.093	3	0.00	
HA	CT2	CT1	NN	0.093	3	0.00	
NN	CT1	CT1	CT2	0.481	3	0.00	
NN	CT1	CT1	CT3	0.481	3	0.00	
CT3	CT1	CT2	CT2	0.151	3	0.00	
CT3	CT1	CT2	CT1	0.151	3	0.00	
HA	CT3	CT1	CT2	0.046	3	0.00	
HA	CT3	CT1	CT1	0.046	3	0.00	
NN	CT1	CT2	CT2	0.593	3	0.00	
NN	CT1	CT2	CT1	0.593	3	0.00	
CT1	CT1	CT2	CT1	1.368	3	0.00	
CT3	CT1	CT1	CT2	0.104	3	0.00	
CT3	CT1	CT1	CT3	0.104	3	0.00	
NN	CT1	CE1	CE1	3.178	3	0.00	
NN	CT1	CE1	CT3	-0.312	3	0.00	
NN	CT1	CE1	CT2	-0.312	3	0.00	
NN	CT1	CE1	HE1	2.165	3	0.00	
CT3	CE1	CT1	CT3	0.308	3	0.00	
CT2	CE1	CT1	CT3	0.308	3	0.00	
CE1	CE1	CT1	CT3	0.500	1	180.00	
CT1	NN	CT1	CT3	0.0	3	0.00	
CT1	NN	CT1	CT2	0.0	3	0.00	
CT1	NN	CT1	CT1	0.0	3	0.00	
CT1	NN	CT1	CE1	0.0	3	0.00	
HA	CT3	CT1	CE1	0.0	3	0.00	
SM	CT2	CE1	CE1	-0.274	1	0.00	
SM	CT2	CE1	CT1	0.145	1	0.00	
HA	CT2	CE1	CT1	-0.029	1	0.00	
SM	SM	CT2	CE1	0.063	3	0.00	
SM	CT2	CT1	NH1	-0.066	1	0.00	
SM	CT2	CT1	C	0.233	1	0.00	
SM	CT2	CT1	HA	0.064	3	0.00	
SM	CT2	CT1	HB	0.064	3	0.00	
HA	CT2	CT1	CT3	0.1200	3	0.00	
CT2	CE1	CE1	HE1	1.0000	2	180.00	
CT1	CE1	CE1	HE1	1.0000	2	180.00	
HE1	CE1	CT1	CT3	0.1200	3	0.00	
CE1	CE1	CT2	HA	0.0300	3	0.00	
X	CN8	ON2	X	-0.10	3	0.0	
X	CN7	CN8	X	0.20	3	0.0	
X	CN8	NN6	X	0.10	3	0.0	
CN7	ON6	CN8B	HN8	0.195	1	0.0	
ON6	CN8B	CN8	HN8	0.195	1	0.0	
HN7	CN7	ON6	CN8B	0.195	3	0.0	
CN8B	CN8	CN7	HN7	0.195	3	0.0	
HN8	CN8B	CN8	HN8	0.195	3	0.0	
HN8	CN8B	CN8	CN7	0.195	3	0.0	
CN8B	CN7	ON6	CN8B	0.5	5	0.0	
CN8B	CN8	CN7	ON5	0.4	5	0.0	
CN8B	CN8	CN7	ON2	0.4	5	0.0	
CN7	ON6	CN8B	CN8	0.6	6	180.0	
ON6	CN8B	CN8	CN7	0.7	5	180.0	
CN7	CN7	CN8	CN8B	0.5	4	0.0	
CN8B	ON6	CN7	CN7	0.5	3	0.0	
ON2	P	ON2	CN7	1.20	1	180.0	
ON2	P	ON2	CN7B	1.20	1	180.0	
ON2	P	ON2	CN8	1.20	1	180.0	
ON2	P	ON2	CN8B	1.20	1	180.0	
ON2	P	ON2	CN9	1.20	1	180.0	
ON3	P	ON2	CN7	0.10	3	0.0	
ON3	P	ON2	CN7B	0.10	3	0.0	
ON3	P	ON2	CN8	0.10	3	0.0	
ON3	P	ON2	CN8B	0.10	3	0.0	
ON3	P	ON2	CN9	0.10	3	0.0	
ON4	P	ON2	CN7	0.95	2	0.0	
ON4	P	ON2	CN7B	0.95	2	0.0	
ON4	P	ON2	CN8	0.95	2	0.0	
ON4	P	ON2	CN8B	0.95	2	0.0	
ON4	P	ON2	CN9	0.95	2	0.0	
X	ON4	P	X	0.30	3	0.0	
P	ON2	CN7	HN7	0.000	3	0.0	
P	ON2	CN7B	HN7	0.000	3	0.0	
P	ON2	CN8B	HN8	0.000	3	0.0	
P	ON2	CN8	HN8	0.000	3	0.0	
P	ON2	CN9	HN9	0.000	3	0.0	
cn9	cn8	cn8	cn9	0.15	1	0.0	
cn9	cn8	cn8	cn8	0.15	1	0.0	
NN2B	CN1T	NN2U	CN1	1.5	2	180.0	
CN1T	NN2U	CN1	CN3	1.5	2	180.0	
NN2U	CN1	CN3	CN3	1.5	2	180.0	
CN1	CN3	CN3	NN2B	6.0	2	180.0	
CN3	CN3	NN2B	CN1T	1.5	2	180.0	
CN3	NN2B	CN1T	NN2U	1.5	2	180.0	
HN3	CN3	CN3	HN3	3.0	2	180.0	
HN3	CN3	CN1	ON1	6.0	2	180.0	
ON1	CN1T	NN2B	HN2	0.0	2	180.0	
ON1	CN1	NN2U	HN2	0.0	2	180.0	
ON1	CN1T	NN2U	HN2	0.0	2	180.0	
HN2	NN2B	CN3	HN3	1.5	2	180.0	
NN2B	CN1T	NN2U	HN2	3.8	2	180.0	
CN3	CN1	NN2U	HN2	3.8	2	180.0	
CN3	CN3	NN2B	HN2	1.6	2	180.0	
NN2U	CN1T	NN2B	HN2	1.6	2	180.0	
CN1T	NN2B	CN3	CN3T	1.8	2	180.0	
NN2U	CN1	CN3T	CN3	1.8	2	180.0	
CN1	CN3T	CN3	NN2B	3.0	2	180.0	
NN2B	CN1	CN3T	CN9	5.6	2	180.0	
NN2B	CN3	CN3T	CN9	5.6	2	180.0	
CN1	CN3T	CN9	HN9	0.46	3	0.0	
CN3	CN3T	CN9	HN9	0.46	3	0.0	
CN3T	CN1	NN2U	HN2	4.8	2	180.0	
CN3	NN2	CN1	NN3	0.6	2	180.0	
NN2	CN1	NN3	CN2	0.6	2	180.0	
CN1	NN3	CN2	CN3	6.0	2	180.0	
NN3	CN2	CN3	CN3	0.6	2	180.0	
CN2	CN3	CN3	NN2	6.0	2	180.0	
CN3	CN3	NN2	CN1	0.6	2	180.0	
NN3	CN2	NN1	HN1	1.0	2	180.0	
CN3	CN2	NN1	HN1	1.0	2	180.0	
NN1	CN2	NN3	CN1	2.0	2	180.0	
NN1	CN2	CN3	CN3	2.0	2	180.0	
NN1	CN2	CN3	HN3	2.0	2	180.0	
ON1C	CN1	NN2	HN2	3.0	2	180.0	
ON1C	CN1	NN3	CN2	1.6	2	180.0	
ON1C	CN1	NN2	CN3	1.6	2	180.0	
NN3	CN2	CN3	HN3	3.4	2	180.0	
NN2	CN3	CN3	HN3	3.4	2	180.0	
CN2	CN3	CN3	HN3	4.6	2	180.0	
CN1	NN2	CN3	HN3	4.6	2	180.0	
X	CN2	NN3	X	2.0	2	180.0	
NN2	CN3	CN3D	CN2	3.0	2	180.0	
CN3	CN3D	CN2	NN3	1.0	2	180.0	
CN3D	CN2	NN3	CN1	10.0	2	180.0	
CN3D	CN3	NN2	CN1	1.0	2	180.0	
CN3D	CN2	NN1	HN1	2.0	2	180.0	
NN1	CN2	CN3D	CN3	0.0	2	180.0	
NN1	CN2	CN3D	CN9	0.0	2	180.0	
NN2	CN3	CN3D	CN9	4.0	2	180.0	
NN3	CN2	CN3D	CN9	0.0	2	180.0	
CN3	CN3D	CN9	HN9	0.0	3	0.0	
CN2	CN3D	CN9	HN9	0.35	3	0.0	
CN2	CN3D	CN3	HN3	4.0	2	180.0	
CN9	CN3D	CN3	HN3	4.0	2	180.0	
CN2	NN3A	CN4	NN3A	1.8	2	180.0	
NN3A	CN4	NN3A	CN5	2.0	2	180.0	
CN4	NN3A	CN5	CN5	1.8	2	180.0	
NN3A	CN5	CN5	CN2	2.0	2	180.0	
CN5	CN5	CN2	NN3A	1.8	2	180.0	
CN5	CN2	NN3A	CN4	10.0	2	180.0	
CN5	CN5	NN4	CN4	6.0	2	180.0	
CN5	NN4	CN4	NN2	14.0	2	180.0	
NN4	CN4	NN2	CN5	6.0	2	180.0	
CN4	NN2	CN5	CN5	6.0	2	180.0	
NN2	CN5	CN5	NN4	14.0	2	180.0	
CN2	NN3A	CN4	HN3	8.5	2	180.0	
CN5	NN3A	CN4	HN3	8.5	2	180.0	
CN5	NN4	CN4	HN3	5.2	2	180.0	
CN5	NN2	CN4	HN3	5.2	2	180.0	
CN5	CN5	NN2	HN2	1.2	2	180.0	
NN4	CN4	NN2	HN2	1.2	2	180.0	
HN2	NN2	CN4	HN3	0.0	2	180.0	
CN4	NN3A	CN2	NN1	4.0	2	180.0	
CN5	CN5	CN2	NN1	4.0	2	180.0	
NN4	CN5	CN2	NN1	0.0	2	180.0	
CN5	CN2	NN1	HN1	0.5	2	180.0	
NN3A	CN2	NN1	HN1	0.5	2	180.0	
NN3A	CN5	CN5	NN4	7.0	2	180.0	
CN2	CN5	CN5	NN2	7.0	2	180.0	
NN3A	CN2	CN5	NN4	2.0	2	180.0	
CN2	CN5	NN4	CN4	2.0	2	180.0	
CN4	NN3A	CN5	NN2	2.0	2	180.0	
NN3A	CN5	NN2	CN4	2.0	2	180.0	
CN1	NN2G	CN2	NN3G	0.2	2	180.0	
NN2G	CN2	NN3G	CN5	2.0	2	180.0	
CN2	NN3G	CN5	CN5G	0.2	2	180.0	
NN3G	CN5	CN5G	CN1	2.0	2	180.0	
CN5	CN5G	CN1	NN2G	0.2	2	180.0	
CN5G	CN1	NN2G	CN2	0.2	2	180.0	
CN5	CN5G	NN4	CN4	6.0	2	180.0	
CN5G	NN4	CN4	NN2B	16.0	2	180.0	
NN4	CN4	NN2B	CN5	6.0	2	180.0	
CN4	NN2B	CN5	CN5G	6.0	2	180.0	
NN2B	CN5	CN5G	NN4	10.0	2	180.0	
ON1	CN1	CN5G	CN5	14.0	2	180.0	
ON1	CN1	CN5G	NN4	0.0	2	180.0	
ON1	CN1	NN2G	CN2	14.0	2	180.0	
ON1	CN1	NN2G	HN2	0.0	2	180.0	
NN1	CN2	NN2G	CN1	4.0	2	180.0	
NN1	CN2	NN3G	CN5	4.0	2	180.0	
NN1	CN2	NN2G	HN2	0.0	2	180.0	
NN2G	CN2	NN1	HN1	1.2	2	180.0	
NN3G	CN2	NN1	HN1	1.2	2	180.0	
HN2	NN2G	CN1	CN5G	3.6	2	180.0	
HN2	NN2G	CN2	NN3G	3.6	2	180.0	
HN3	CN4	NN4	CN5G	5.6	2	180.0	
HN3	CN4	NN2B	CN5	5.6	2	180.0	
HN3	CN4	NN2B	HN2	0.0	2	180.0	
HN2	NN2B	CN5	CN5G	1.2	2	180.0	
HN2	NN2B	CN5	NN3G	1.2	2	180.0	
HN2	NN2B	CN4	NN4	1.2	2	180.0	
NN3G	CN5	CN5G	NN4	10.0	2	180.0	
CN1	CN5G	CN5	NN2	10.0	2	180.0	
NN2G	CN1	CN5G	NN4	2.0	2	180.0	
CN1	CN5G	NN4	CN4	2.0	2	180.0	
CN2	NN3G	CN5	NN2B	2.0	2	180.0	
NN3G	CN5	NN2B	CN4	2.0	2	180.0	
CN5	CN5	NN3I	CN4	6.0	2	180.0	
NN2G	CN4	NN3I	CN5	6.0	2	180.0	
NN3I	CN4	NN2G	HN2	1.5	2	180.0	
NN3I	CN4	NN2G	CN1	1.5	2	180.0	
HN3	CN4	NN2G	HN2	1.5	2	180.0	
HN3	CN4	NN2G	CN1	1.5	2	180.0	
X	CN4	NN3I	X	3.5	2	180.0	
X	CN5	NN3I	X	1.0	2	180.0	
X	CN1	NN3	X	1.0	2	180.0	
X	CN1	NN2	X	0.9	2	180.0	
X	CN1T	NN2B	X	0.9	2	180.0	
X	CN1	NN2G	X	0.9	2	180.0	
X	CN1	NN2U	X	0.9	2	180.0	
X	CN1T	NN2U	X	0.9	2	180.0	
X	CN3	NN2	X	1.0	2	180.0	
X	CN3	NN2B	X	1.0	2	180.0	
X	CN3	CN3	X	1.0	2	180.0	
X	CN3	CN3T	X	1.0	2	180.0	
X	CN1	CN3	X	1.0	2	180.0	
X	CN1	CN3T	X	1.0	2	180.0	
X	CN2	CN3	X	0.8	2	180.0	
X	CN1	CN5G	X	1.0	2	180.0	
X	CN2	NN2G	X	1.0	2	180.0	
X	CN2	CN5	X	1.0	2	180.0	
X	CN4	NN2	X	1.5	2	180.0	
X	CN4	NN2B	X	1.5	2	180.0	
X	CN4	NN3A	X	3.5	2	180.0	
X	CN4	NN4	X	2.0	2	180.0	
X	CN5	CN5	X	0.0	2	180.0	
X	CN5G	CN5	X	0.0	2	180.0	
X	CN5	NN2	X	1.5	2	180.0	
X	CN5	NN2B	X	1.5	2	180.0	
X	CN5	NN3A	X	1.0	2	180.0	
X	CN5	NN3G	X	1.0	2	180.0	
X	CN5	NN4	X	1.0	2	180.0	
X	CN5G	NN4	X	1.0	2	180.0	
X	CN2	NN3A	X	1.0	2	180.0	
X	CN2	NN3G	X	1.0	2	180.0	
CN1	NN2	CN9	HN9	0.19	3	0.0	
CN3	NN2	CN9	HN9	0.00	3	0.0	
CN4	NN2	CN9	HN9	0.00	3	0.0	
CN5	NN2	CN9	HN9	0.19	3	0.0	
CN1	NN2B	CN9	HN9	0.19	3	0.0	
CN1T	NN2B	CN9	HN9	0.19	3	0.0	
CN3	NN2B	CN9	HN9	0.00	3	0.0	
CN4	NN2B	CN9	HN9	0.00	3	0.0	
CN5	NN2B	CN9	HN9	0.19	3	0.0	
CN4	NN2B	CN8	HN8	0.00	3	0.0	
CN5	NN2B	CN8	HN8	0.19	3	0.0	
CN4	NN2B	CN8	CN9	0.00	3	0.0	
CN5	NN2B	CN8	CN9	0.19	3	0.0	
X	CN8	CN8	X	0.15	3	0.0	
X	CN8	CN9	X	0.15	3	0.0	
CN3	NN2	CN3B	HN3B	7.0	2	180.0	
HN2	NN2	CN3B	HN3B	3.0	2	180.0	
HN3B	CN3	CN3A	HN3B	2.0	2	180.0	
HN3B	CN3	CN3B	HN3B	1.0	2	180.0	
NN2	CN3B	CN3	HN3B	7.0	2	180.0	
CN3	CN1A	CN3	HN3B	7.0	2	180.0	
CN1A	CN3	CN3B	HN3B	1.0	2	180.0	
CN1A	CN3	CN3A	HN3B	5.0	2	180.0	
CN3	CN1A	CN3	HN3	7.0	2	180.0	
CN1A	CN3	CN3	HN3	1.0	2	180.0	
CN3A	CN3	CN1A	ON1	2.38	2	180.0	
CN3B	CN3	CN1A	ON1	2.38	2	180.0	
CN3A	CN3	CN1A	NN1	0.35	1	180.0	
CN3B	CN3	CN1A	NN1	0.35	1	0.0	
CN3	CN3A	CN3	CN1A	3.0	2	180.0	
CN3	CN3A	CN3	CN3B	6.0	2	180.0	
NN2	CN3B	CN3	CN3A	7.0	2	180.0	
CN3B	NN2	CN3B	CN3	4.0	2	180.0	
X	CN3	CN3A	X	1.0	2	180.0	
X	CN3	CN3B	X	1.0	2	180.0	
X	CN3	CN8	X	1.0	3	180.0	
X	NN1	CN1A	X	2.5	2	180.0	
X	NN2	CN3B	X	1.0	2	180.0	
CN8	CN3	CN1A	ON1	1.00	2	180.0	
CN8	CN3	CN1A	NN1	0.50	2	180.0	
CN3C	CN3	CN1A	ON1	0.30	1	0.0	
CN3C	CN3	CN1A	NN1	1.10	1	180.0	
HN2	NN2	CN3C	HN3	4.0	2	180.0	
CN3	NN2	CN3C	HN3	7.0	2	180.0	
NN2	CN3C	CN3	HN3	7.0	2	180.0	
CN8	CN3	CN3C	NN2	0.1	2	180.0	
CN3C	CN3	CN8	CN3	4.0	3	180.0	
CN1A	CN3	CN3C	NN2	2.5	2	180.0	
X	CN3	CN3C	X	0.1	2	180.0	
X	NN2	CN3C	X	0.1	2	180.0	
CN3C	NN2	CN3C	CN3	0.1	2	180.0	
P2	ON2	P	ON2	0.03	2	0.0	
P	ON2	P2	ON2	0.03	2	0.0	
P2	ON2	P2	ON2	0.03	2	0.0	
P	ON2	P	ON2	0.03	2	0.0	
P	ON2	P	ON3	0.10	2	0.0	
P	ON2	P2	ON3	0.10	2	0.0	
P2	ON2	P	ON3	0.10	2	0.0	
P2	ON2	P2	ON3	0.10	2	0.0	
P	ON2	P3	ON2	0.03	2	0.0	
P3	ON2	P	ON2	0.03	2	0.0	
P	ON2	P3	ON3	0.10	2	0.0	
P3	ON2	P	ON3	0.10	2	0.0	
P	ON2	P3	ON4	0.10	2	0.0	
X	ON4	P3	X	0.30	3	0.0	
HN7	CN7	CN7B	ON5	0.195	3	0.0	
HN8	CN8B	CN7	ON5	0.195	1	0.0	
HN7	CN7	CN7	CN7	0.195	3	0.0	
HN7	CN7	CN7	CN7B	0.195	3	0.0	
HN7	CN7B	CN7	CN7	0.195	3	0.0	
HN7	CN7B	NN2	CN3B	0.195	3	0.0	
HN7	CN7B	NN2	CN3C	0.195	3	0.0	
HN7	CN7	CN7B	HN7	0.195	3	0.0	
HN7	CN7	CN7B	ON6	0.195	3	0.0	
HN7	CN7	CN7B	ON2	0.195	3	0.0	
HN8	CN8	CN7B	ON2	0.195	3	0.0	
HN7	CN7B	CN7B	ON2	0.195	3	0.0	
HN7	CN7	CN7B	NN2	0.195	3	0.0	
ON6	CN7B	CN7	ON5	3.4	1	180.0	
CN7	CN7B	NN2	CN3B	0.0	3	0.0	
CN8	CN7B	NN2	CN3B	0.0	3	0.0	
CN7B	CN7B	NN2	CN3B	0.0	3	0.0	
ON6	CN7B	NN2	CN3B	0.0	3	0.0	
ON6B	CN7B	NN2	CN3B	0.0	3	0.0	
CN7	CN7B	NN2	CN3C	0.0	3	0.0	
CN7B	CN7B	NN2	CN3C	0.0	3	0.0	
ON6	CN7B	NN2	CN3C	0.0	3	0.0	
ON6B	CN7B	NN2	CN3C	0.0	3	0.0	
CN7	CN7	CN7B	NN2	0.0	3	0.0	
CN8	CN7	CN7B	NN2	0.0	3	0.0	
CN7	CN7B	NN2	CN5	0.3	3	0.0	
CN7	CN7B	NN2	CN4	0.0	3	180.0	
ON2	CN7	CN7B	NN2	0.0	3	0.0	
ON2	CN7B	CN7B	NN2	0.0	3	0.0	
ON2	CN7B	CN7B	NN2B	0.0	3	0.0	
ON5	CN7	CN7B	NN2	0.0	3	0.0	
CN7	CN7B	ON6	CN7	0.6	6	180.0	
CN7B	CN7	CN7	CN7	0.4	6	0.0	
CN7B	CN7	CN7	CN9	0.4	6	0.0	
CN7	CN7	CN7	ON6	0.6	6	0.0	
CN7	CN7	CN7B	ON6	0.6	6	0.0	
CN8	CN7	CN7B	ON6	0.6	6	0.0	
ON2	CN7	CN7	CN7	0.8	6	0.0	
ON2	CN7B	CN7	CN7	0.8	6	0.0	
ON2	CN7B	CN8	CN7	0.8	6	0.0	
ON5	CN7	CN7	CN7	0.8	6	0.0	
ON5	CN7	CN7	ON5	0.0	3	0.0	
ON5	CN7	CN7	ON2	0.0	3	0.0	
ON2	CN7	CN7B	ON6	0.5	6	0.0	
CN7	CN7	CN7	CN8B	0.5	4	180.0	
CN7B	NR1	CPH1	HR3	0.0	2	180.0	
CN7B	NR1	CPH1	CPH1	0.0	1	0.0	
CN7B	NR1	CPH2	HR1	0.0	2	180.0	
CN7B	NR1	CPH2	NR2	0.0	2	180.0	
ON6	CN7B	NR1	CPH1	0.2	3	0.0	
ON6	CN7B	NR1	CPH2	0.3	1	0.0	
ON6B	CN7B	NR1	CPH1	0.2	3	0.0	
ON6B	CN7B	NR1	CPH2	0.3	1	0.0	
CN8	CN7B	NR1	CPH1	0.2	4	0.0	
CN8	CN7B	NR1	CPH2	0.1	3	180.0	
CN7B	CN7B	NR1	CPH1	0.2	4	0.0	
CN7B	CN7B	NR1	CPH2	0.1	3	180.0	
HN7	CN7B	NR1	CPH1	0.0	3	0.0	
HN7	CN7B	NR1	CPH2	0.195	3	0.0	
CN8	CN8	CN7B	NR1	0.0	3	0.0	
CN7	CN7B	CN7B	NR1	0.0	3	0.0	
CN8	ON6	CN7B	NR1	0.0	3	0.0	
HN8	CN8	CN7B	NR1	0.0	3	0.0	
HN7	CN7B	CN7B	NR1	0.0	3	0.0	
NR1	CN7B	CN7B	ON5	0.0	3	0.0	
CN7B	ON6	CN7	CN8	0.0	3	0.0	
CN7B	ON6	CN7	CN9	0.0	3	0.0	
CN7	ON6	CN7B	NR1	0.0	3	0.0	
CN7	ON6B	CN7B	NR1	0.0	3	0.0	
NR1	CN7B	CN8	CN7	0.0	3	0.0	
CN7B	NN2	CN4	HN3	0.3	2	180.0	
CN7B	NN2	CN5	CN5	11.0	2	180.0	
CN7B	NN2	CN4	NN4	11.0	2	180.0	
CN7B	NN2	CN4	NN3A	11.0	2	180.0	
ON6	CN7B	NN2	CN5	1.1	1	180.0	
ON6	CN7B	NN2	CN4	1.1	1	0.0	
ON6B	CN7B	NN2	CN5	1.1	1	180.0	
ON6B	CN7B	NN2	CN4	1.1	1	0.0	
CN8	CN7B	NN2	CN5	0.3	3	0.0	
CN8	CN7B	NN2	CN4	0.0	3	180.0	
CN7B	CN7B	NN2	CN5	0.3	3	0.0	
CN7B	CN7B	NN2	CN4	0.0	3	180.0	
CN7C	CN7B	NN2	CN5	0.3	3	0.0	
CN7C	CN7B	NN2	CN4	0.0	3	180.0	
HN7	CN7B	NN2	CN5	0.0	3	0.0	
HN7	CN7B	NN2	CN4	0.195	3	0.0	
CN7B	NN2	CN3	HN3	0.3	2	180.0	
CN7B	NN2	CN1	ON1C	11.0	2	180.0	
CN7B	NN2	CN1	NN3	11.0	2	180.0	
CN7B	NN2	CN3	CN3	11.0	2	180.0	
ON6	CN7B	NN2	CN1	0.0	3	0.0	
ON6	CN7B	NN2	CN3	1.0	1	0.0	
ON6B	CN7B	NN2	CN1	0.0	3	0.0	
ON6B	CN7B	NN2	CN3	1.0	1	0.0	
CN7	CN7B	NN2	CN1	1.0	3	0.0	
CN8	CN7B	NN2	CN1	1.0	3	0.0	
CN7	CN7B	NN2	CN3	0.0	3	180.0	
CN8	CN7B	NN2	CN3	0.0	3	180.0	
CN7B	CN7B	NN2	CN1	1.0	3	0.0	
CN7B	CN7B	NN2	CN3	0.0	3	180.0	
CN7C	CN7B	NN2	CN1	1.0	3	0.0	
CN7C	CN7B	NN2	CN3	0.0	3	180.0	
HN7	CN7B	NN2	CN1	0.0	3	0.0	
HN7	CN7B	NN2	CN3	0.195	3	0.0	
CN7B	NN2B	CN3	HN3	0.3	2	180.0	
CN7B	NN2B	CN1T	ON1	11.0	2	180.0	
CN7B	NN2B	CN1T	NN2U	11.0	2	180.0	
CN7B	NN2B	CN3	CN3T	11.0	2	180.0	
ON6	CN7B	NN2B	CN1	0.0	3	0.0	
ON6	CN7B	NN2B	CN1T	0.7	3	0.0	
ON6	CN7B	NN2B	CN3	0.9	1	0.0	
ON6B	CN7B	NN2B	CN1	0.0	3	0.0	
ON6B	CN7B	NN2B	CN1T	0.7	3	0.0	
